code;libellé;date de début de validité;date de fin de validité;20/02/2025
1543;Convention collective nationale de la boyauderie (annexée à la convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes 1586);01/01/1900;01/02/2024
1545;Convention collective de travail de l'enseignement primaire catholique;01/01/1900;
1555;Convention collective nationale de la fabrication et du commerce des produits à usage pharmaceutique, parapharmaceutique et vétérinaire;01/01/1900;
1557;Convention collective nationale du commerce des articles de sports et d'équipements de loisirs (fusion entre la 1557 et la 1618);01/01/1900;
1558;Convention collective nationale relative aux conditions de travail du personnel des industries céramiques de France;01/01/1900;
1560;Convention collective départementale des industries métallurgiques, électriques et connexes des Alpes-Maritimes;01/01/1900;31/12/2023
1561;Convention collective nationale de la cordonnerie multiservice (annexée à la convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir 2528);01/01/1900;31/01/2024
1563;Convention collective nationale des cadres de la presse hebdomadaire régionale d'information;01/01/1900;01/01/2022
1564;Convention collective départementale des industries de la métallurgie de Saône-et-Loire;01/01/1900;31/12/2023
1565;Convention collective des services de soins infirmiers à domicile pour personnes âgées de la Guadeloupe;01/01/1900;
1572;Convention collective départementale de la métallurgie de la Charente;01/01/1900;31/12/2023
1576;Convention collective départementale de travail des industries métallurgiques, mécaniques, électriques, électroniques, connexes et similaires du département du Cher;01/01/1900;31/12/2023
1577;Convention collective régionale des industries métallurgiques, électroniques et connexes de l'Hérault, de l'Aude et des Pyrénées-Orientales;01/01/1900;31/12/2023
1578;Convention collective départementale de la métallurgie de la Loire et de l'arrondissement d'Yssingeaux;01/01/1900;31/12/2023
1580;Convention collective nationale de l'industrie de la chaussure et des articles chaussants;01/01/1900;
1586;Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes;01/01/1900;
1588;Convention collective nationale du personnel des sociétés coopératives d'HLM (annexée à la convention collective nationale du personnel des Offices Publics de l'Habitat 3220);01/01/1900;
1589;Convention collective nationale des mareyeurs-expéditeurs;01/01/1900;
1592;Convention collective locale de la métallurgie du Valenciennois et du Cambrésis;01/01/1900;31/12/2023
1596;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 -c'est-à-dire occupant jusqu'à 10 salariés-;01/01/1900;
1597;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-;01/01/1900;
1604;Convention collective locale des industries métallurgiques des arrondissements de Rouen et de Dieppe;01/01/1900;31/12/2023
1605;Convention collective nationale des entreprises de désinfection, désinsectisation, dératisation;01/01/1900;
1606;Convention collective nationale du bricolage;01/01/1900;
1607;Convention collective nationale des industries des jeux, jouets, articles de fêtes et ornements de Noël, articles de puériculture et voitures d'enfants modélisme et industries connexes;01/01/1900;
1611;Convention collective nationale des entreprises de logistique de communication écrite directe;01/01/1900;
1612;Convention collective nationale du personnel navigant des essais et réceptions;01/01/1900;
1618;Convention collective nationale du camping (fusion entre la 1557 et la 1618);01/01/1900;23/01/2023
1619;Convention collective nationale des cabinets dentaires;01/01/1900;
1621;Convention collective nationale de la répartition pharmaceutique;01/01/1900;
1624;Convention collective nationale des commerces de gros de la confiserie, chocolaterie, biscuiterie et alimentation fine et des négociants distributeurs de levure;01/01/1900;29/09/2021
1626;Convention collective départementale des industries métallurgiques, mécaniques, électriques, électro-céramiques et connexes des Hautes-Pyrénées;01/01/1900;31/12/2023
1627;Convention collective départementale du travail des industries de la métallurgie et des constructions mécaniques de Clermont-Ferrand et du Puy-de-Dôme;01/01/1900;31/12/2023
1628;Convention collective départementale de la métallurgie des Deux-Sèvres;01/01/1900;31/12/2023
1631;Convention collective nationale de l'hôtellerie de plein air;01/01/1900;
1634;Convention collective départementale de la métallurgie des Côtes-d'Armor;01/01/1900;31/12/2023
1635;Convention collective régionale des industries métallurgiques, mécaniques et connexes de la Gironde et des Landes;01/01/1900;31/12/2023
1659;Convention collective nationale du rouissage teillage du lin;01/01/1900;
1671;Convention collective nationale des maisons d'étudiants;01/01/1900;
1672;Convention collective nationale des sociétés d'assurances;01/01/1900;
1679;Convention collective nationale de l'inspection d'assurance;01/01/1900;
1686;Convention collective nationale des commerces et services de l'audiovisuel, de l'électronique et de l'équipement ménager;01/01/1900;
1700;Convention collective départementale des sucreries, sucreries-distilleries et distilleries de la Guadeloupe;01/01/1900;
1702;Convention collective nationale des ouvriers de travaux publics;01/01/1900;
1710;Convention collective nationale du personnel des agences de voyages et de tourisme;01/01/1900;12/05/2022
1732;Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes de l'Yonne;01/01/1900;31/12/2023
1734;Convention collective des artistes-interprètes engagés pour des émissions de télévision (annexée à la convention collective de la production audiovisuelle 2642);01/01/1900;19/04/2024
1747;Convention collective des activités industrielles de boulangerie et de pâtisserie;01/01/1900;
1760;Convention collective nationale des jardineries et graineteries;01/01/1900;
1790;Convention collective nationale des espaces de loisirs, d'attractions et culturels;01/01/1900;
1794;Convention collective nationale du personnel des institutions de retraites complémentaires;01/01/1900;
1800;Convention collective nationale du personnel de la céramique d'art (annexée à la convention collective nationale relative aux conditions de travail du personnel des industries céramiques de France 1558);01/01/1900;27/11/2023
1801;Convention collective nationale des sociétés d'assistance;01/01/1900;
1813;Convention collective locale de travail des industries de la transformation des métaux de la région de Maubeuge;01/01/1900;31/12/2023
1821;Convention collective nationale des professions regroupées du cristal, du verre et du vitrail;01/01/1900;
1843;Convention collective régionale des ingénieurs, assimilés et cadres du bâtiment de la région parisienne;01/01/1900;
1850;Convention collective de l'avocat salarié;01/01/1900;16/10/2024
1867;Convention collective régionale de la métallurgie de la Drôme-Ardèche;01/01/1900;
1875;Convention collective nationale des cabinets et cliniques vétérinaires : personnel salarié;01/01/1900;
1880;Convention collective nationale du négoce de l'ameublement;01/01/1900;
1885;Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes du département de la Côte-d'Or;01/01/1900;
1888;Convention collective départementale des ouvriers des travaux publics de la Loire;01/01/1900;
1895;Convention collective nationale de l'encadrement de la presse quotidienne régionale;01/01/1900;01/01/2022
1902;Convention collective départementale des industries métallurgiques, mécaniques, électriques, électroniques connexes et similaires du Maine-et-Loire;01/01/1900;31/12/2023
